 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9737,          0.2214
    1226380.0000,    5055020.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9850,          0.2622
    1226380.0000,    5054980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9976,          0.3456
    1226380.0000,    5054940.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9985,          0.3687
    1226380.0000,    5054900.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9988,          0.3671
    1226380.0000,    5054860.0000,          0.0000,        -14.0000,         14.0000,        180.0000,          0.9965,          0.3565
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9982,          0.3443
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9985,          0.3330
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9992,          0.3252
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9995,          0.3047
    1226380.0000,    5054660.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9940,          0.2963
    1226380.0000,    5054620.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9911,          0.3089
    1226380.0000,    5054580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9975,          0.3489
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9983,          0.3754
    1226380.0000,    5054500.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9982,          0.3878
    1226380.0000,    5054460.0000,          0.0000,         -1.7500,          1.7500,        180.0000,          0.9895,          0.3530
    1226380.0000,    5054420.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9771,          0.3164
    1226380.0000,    5054380.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9599,          0.2941
    1226380.0000,    5054340.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9719,          0.2913
    1226380.0000,    5054300.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9883,          0.3117
    1226380.0000,    5054260.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9844,          0.2957
    1226380.0000,    5054220.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9871,          0.2569
    1226380.0000,    5054180.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9824,          0.2477
    1226380.0000,    5054140.0000,          0.0000,         -1.7500,          1.7500,        180.0000,          0.9517,          0.2421
    1226380.0000,    5054100.0000,          0.0000,         -1.2500,          1.2500,        180.0000,          0.9776,          0.2780
    1226380.0000,    5054060.0000,          0.2500,         -0.7500,          0.7906,        161.5651,          0.9950,          0.2985
    1226380.0000,    5054020.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9985,          0.2835
    1226380.0000,    5053980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9980,          0.2807
    1226380.0000,    5053940.0000,          0.0000,         26.0000,         26.0000,          0.0000,          0.9993,          0.2819
    1226380.0000,    5053900.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.9988,          0.2886
    1226380.0000,    5053860.0000,          0.0000,         -8.0000,          8.0000,        180.0000,          0.9971,          0.2942
    1226380.0000,    5053820.0000,         -0.2500,          8.0000,          8.0039,        358.2101,          0.9761,          0.3129
    1226380.0000,    5053780.0000,          0.0000,          8.0000,          8.0000,          0.0000,          0.9218,          0.2942
    1226380.0000,    5053740.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9656,          0.2749
    1226380.0000,    5053700.0000,          0.0000,        -46.0000,         46.0000,        180.0000,          0.9771,          0.2898
    1226380.0000,    5053660.0000,          0.0000,        -62.0000,         62.0000,        180.0000,          0.9793,          0.2848
    1226380.0000,    5053620.0000,          0.0000,         26.0000,         26.0000,          0.0000,          0.9701,          0.2911
    1226380.0000,    5053580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9428,          0.3317
    1226380.0000,    5053540.0000,         -0.2500,          8.0000,          8.0039,        358.2101,          0.9077,          0.3592
    1226380.0000,    5053500.0000,         -0.2500,         30.0000,         30.0010,        359.5225,          0.8929,          0.3427
    1226380.0000,    5053460.0000,         -0.2500,          4.0000,          4.0078,        356.4237,          0.9218,          0.3155
    1226380.0000,    5053420.0000,          0.0000,         20.0000,         20.0000,          0.0000,          0.9618,          0.2827
    1226380.0000,    5053380.0000,          0.2500,         42.0000,         42.0007,          0.3410,          0.9809,          0.2727
    1226380.0000,    5053340.0000,          0.2500,         52.0000,         52.0006,          0.2755,          0.9800,          0.2676
    1226380.0000,    5053300.0000,          0.0000,        -52.0000,         52.0000,        180.0000,          0.9766,          0.2563
    1226380.0000,    5053260.0000,          0.0000,        -14.0000,         14.0000,        180.0000,          0.9759,          0.2539
    1226380.0000,    5053220.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9434,          0.2555
    1226380.0000,    5053180.0000,          0.2500,         -1.7500,          1.7678,        171.8699,          0.9309,          0.2837
    1226380.0000,    5053140.0000,         -0.2500,         -0.7500,          0.7906,        198.4349,          0.9592,          0.2945
    1226380.0000,    5053100.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9810,          0.2835
    1226380.0000,    5053060.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9796,          0.2743
    1226380.0000,    5053020.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9744,          0.2894
    1226380.0000,    5052980.0000,         -0.2500,          2.0000,          2.0156,        352.8750,          0.9670,          0.3353
    1226380.0000,    5052940.0000,          0.0000,          2.0000,          2.0000,          0.0000,          0.9469,          0.3616
    1226380.0000,    5052900.0000,          0.0000,          4.0000,          4.0000,          0.0000,          0.9461,          0.3854
    1226380.0000,    5052860.0000,          0.0000,         -4.0000,          4.0000,        180.0000,          0.9686,          0.3806
    1226380.0000,    5052820.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9809,          0.3387
    1226380.0000,    5052780.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9918,          0.2820
    1226380.0000,    5052740.0000,          0.2500,         -0.2500,          0.3536,        135.0000,          0.9916,          0.2889
    1226380.0000,    5052700.0000,          0.2500,         -1.5000,          1.5207,        170.5377,          0.9858,          0.2707
    1226380.0000,    5052660.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9895,          0.2606
    1226380.0000,    5052620.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9567,          0.2655
    1226380.0000,    5052580.0000,          0.0000,        -25.7500,         25.7500,        180.0000,          0.9539,          0.2959
    1226380.0000,    5052540.0000,          0.2500,          1.5000,          1.5207,          9.4623,          0.9486,          0.2995
    1226380.0000,    5052500.0000,         -0.2500,          1.0000,          1.0308,        345.9638,          0.9301,          0.3115
    1226380.0000,    5052460.0000,         -0.2500,         -0.5000,          0.5590,        206.5650,          0.9694,          0.3213
    1226380.0000,    5052420.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9882,          0.2999
    1226380.0000,    5052380.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9966,          0.2664
    1226380.0000,    5052340.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9965,          0.2492
    1226380.0000,    5052300.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9970,          0.2559
    1226380.0000,    5052260.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9966,          0.2680
    1226380.0000,    5052220.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9886,          0.2845
    1226380.0000,    5052180.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9803,          0.2958
    1226380.0000,    5052140.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9828,          0.3077
