 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,          0.5000,         -0.5000,          0.7071,        135.0000,          0.9232,          0.1075
    1226380.0000,    5055020.0000,          0.5000,         -0.5000,          0.7071,        135.0000,          0.9071,          0.1327
    1226380.0000,    5054980.0000,          0.2500,         -0.7500,          0.7906,        161.5651,          0.9280,          0.2032
    1226380.0000,    5054940.0000,          0.0000,          0.5000,          0.5000,          0.0000,          0.9572,          0.2564
    1226380.0000,    5054900.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9555,          0.2995
    1226380.0000,    5054860.0000,          0.0000,        -64.0000,         64.0000,        180.0000,          0.9906,          0.3131
    1226380.0000,    5054820.0000,          0.0000,        -28.0000,         28.0000,        180.0000,          0.9916,          0.3207
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9946,          0.3139
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9971,          0.2923
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9973,          0.2886
    1226380.0000,    5054660.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9962,          0.2931
    1226380.0000,    5054620.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9859,          0.2935
    1226380.0000,    5054580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9925,          0.2954
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9977,          0.2839
    1226380.0000,    5054500.0000,          0.0000,         10.2500,         10.2500,          0.0000,          0.9716,          0.2592
    1226380.0000,    5054460.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.9470,          0.2345
    1226380.0000,    5054420.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9684,          0.2901
    1226380.0000,    5054380.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9821,          0.2984
    1226380.0000,    5054340.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9814,          0.3073
    1226380.0000,    5054300.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9882,          0.2910
    1226380.0000,    5054260.0000,          0.0000,          0.5000,          0.5000,          0.0000,          0.9831,          0.2884
    1226380.0000,    5054220.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9814,          0.2959
    1226380.0000,    5054180.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9875,          0.2993
    1226380.0000,    5054140.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9865,          0.2961
    1226380.0000,    5054100.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9886,          0.3131
    1226380.0000,    5054060.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9925,          0.3411
    1226380.0000,    5054020.0000,          0.0000,         50.0000,         50.0000,          0.0000,          0.9884,          0.3515
    1226380.0000,    5053980.0000,          0.0000,          4.0000,          4.0000,          0.0000,          0.9872,          0.3453
    1226380.0000,    5053940.0000,          0.0000,        -62.0000,         62.0000,        180.0000,          0.9999,          0.3126
    1226380.0000,    5053900.0000,          0.0000,        -34.0000,         34.0000,        180.0000,          0.9999,          0.3032
    1226380.0000,    5053860.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.9999,          0.3177
    1226380.0000,    5053820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9942,          0.3688
    1226380.0000,    5053780.0000,          0.0000,         -2.2500,          2.2500,        180.0000,          0.9777,          0.4040
    1226380.0000,    5053740.0000,          0.0000,         -4.5000,          4.5000,        180.0000,          0.9525,          0.4263
    1226380.0000,    5053700.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.8045,          0.3179
    1226380.0000,    5053660.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.8837,          0.3155
    1226380.0000,    5053620.0000,          0.2500,          6.0000,          6.0052,          2.3859,          0.8420,          0.2720
    1226380.0000,    5053580.0000,         -0.2500,          4.0000,          4.0078,        356.4237,          0.8462,          0.2924
    1226380.0000,    5053540.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9440,          0.3268
    1226380.0000,    5053500.0000,         -0.2500,         22.0000,         22.0014,        359.3489,          0.9548,          0.3004
    1226380.0000,    5053460.0000,          0.0000,          1.5000,          1.5000,          0.0000,          0.9299,          0.2213
    1226380.0000,    5053420.0000,          0.0000,          2.5000,          2.5000,          0.0000,          0.9432,          0.1742
    1226380.0000,    5053380.0000,          0.2500,          2.0000,          2.0156,          7.1250,          0.9493,          0.1995
    1226380.0000,    5053340.0000,          0.2500,         50.0000,         50.0006,          0.2865,          0.8889,          0.2139
    1226380.0000,    5053300.0000,          0.5000,         14.0000,         14.0089,          2.0454,          0.8008,          0.1791
    1226380.0000,    5053260.0000,          0.5000,        -68.7500,         68.7518,        179.5833,          0.7564,          0.1443
    1226380.0000,    5053220.0000,          0.0000,        -38.5000,         38.5000,        180.0000,          0.8317,          0.1881
    1226380.0000,    5053180.0000,         -0.7500,         68.0000,         68.0041,        359.3681,          0.8890,          0.2327
    1226380.0000,    5053140.0000,         -0.5000,         -0.7500,          0.9014,        213.6901,          0.8250,          0.2126
    1226380.0000,    5053100.0000,         -0.2500,         -1.0000,          1.0308,        194.0362,          0.8876,          0.1867
    1226380.0000,    5053060.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9004,          0.2007
    1226380.0000,    5053020.0000,         -1.0000,        -42.0000,         42.0119,        181.3639,          0.8436,          0.2436
    1226380.0000,    5052980.0000,         -7.5000,         36.0000,         36.7730,        348.2317,          0.8221,          0.2446
    1226380.0000,    5052940.0000,         -1.0000,         34.2500,         34.2646,        358.3276,          0.7383,          0.2305
    1226380.0000,    5052900.0000,          0.2500,         -1.2500,          1.2748,        168.6901,          0.8468,          0.2704
    1226380.0000,    5052860.0000,          0.0000,         -1.5000,          1.5000,        180.0000,          0.8101,          0.2388
    1226380.0000,    5052820.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9536,          0.2493
    1226380.0000,    5052780.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9750,          0.2250
    1226380.0000,    5052740.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9815,          0.2671
    1226380.0000,    5052700.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9770,          0.2923
    1226380.0000,    5052660.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9597,          0.2719
    1226380.0000,    5052620.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9295,          0.2377
    1226380.0000,    5052580.0000,         -0.7500,         -0.7500,          1.0607,        225.0000,          0.8421,          0.1449
    1226380.0000,    5052540.0000,         -0.2500,         -1.2500,          1.2748,        191.3099,          0.8918,          0.1857
    1226380.0000,    5052500.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9250,          0.1773
    1226380.0000,    5052460.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9295,          0.2224
    1226380.0000,    5052420.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9596,          0.2367
    1226380.0000,    5052380.0000,          0.0000,         -2.5000,          2.5000,        180.0000,          0.9892,          0.2610
    1226380.0000,    5052340.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9942,          0.2631
    1226380.0000,    5052300.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9877,          0.2725
    1226380.0000,    5052260.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9725,          0.2683
    1226380.0000,    5052220.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9538,          0.2631
    1226380.0000,    5052180.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9026,          0.2438
    1226380.0000,    5052140.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9317,          0.2300
    1226380.0000,    5052100.0000,         -0.2500,         -0.7500,          0.7906,        198.4349,          0.9241,          0.2283
    1226380.0000,    5052060.0000,         -0.2500,         -1.0000,          1.0308,        194.0362,          0.9013,          0.2635
    1226380.0000,    5052020.0000,         -0.2500,         -1.0000,          1.0308,        194.0362,          0.8939,          0.2969
    1226380.0000,    5051980.0000,         -0.2500,         -1.0000,          1.0308,        194.0362,          0.8979,          0.2200
    1226380.0000,    5051940.0000,         -0.2500,         -0.5000,          0.5590,        206.5650,          0.9114,          0.2248
    1226380.0000,    5051900.0000,         -0.2500,         -0.2500,          0.3536,        225.0000,          0.9492,          0.2232
    1226380.0000,    5051860.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9497,          0.2173
    1226380.0000,    5051820.0000,         -0.2500,         -1.0000,          1.0308,        194.0362,          0.8886,          0.2478
    1226380.0000,    5051780.0000,         -0.5000,         -1.2500,          1.3463,        201.8014,          0.8684,          0.2279
    1226380.0000,    5051740.0000,          0.0000,         -1.5000,          1.5000,        180.0000,          0.9232,          0.2367
    1226380.0000,    5051700.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9495,          0.2932
    1226380.0000,    5051660.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9494,          0.3533
    1226380.0000,    5051620.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9289,          0.3978
    1226380.0000,    5051580.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9388,          0.4045
    1226380.0000,    5051540.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9652,          0.3884
    1226380.0000,    5051500.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9706,          0.3420
